ID Produit Sellsy,Référence,Nom commercial,Description,Prix référence HT,Unité,Urbyn,Profondeur (cm),Longueur (cm),Hauteur (cm),Poids (kg),Encombrement au sol,Nb de Panneaux,Format panneau imprimé,Détail
9491858-2032080,TOT-CB-80,Totem Caisson Bois 80,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable et d'assise.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","2650,00",unité.s,[Totem/Caisson Bois/Acquisition],90,"88,4","210,5",215,<1m2,2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
9491858-2032081,TOT-CB-120,Totem Caisson Bois 120,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable et d'assise.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","3200,00",unité.s,[Totem/Caisson Bois/Acquisition],90,"128,8","210,5",325,"1,16 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
9491858-2032081,TOT-CB-120,Totem Caisson Bois 120,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable et d'assise.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","640,00",Mois,[Totem/Caisson Bois/Location],90,"128,8","210,5",325,"1,16 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
9491858-2032082,TOT-CB-160,Totem Caisson Bois 160,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable et d'assise.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","3960,00",unité.s,[Totem/Caisson Bois/Acquisition],90,"169,2","210,5",432,"1,5 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
9491858-2032083,TOT-CB-200,Totem Caisson Bois 200,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable et d'assise.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","4730,00",unité.s,[Totem/Caisson Bois/Acquisition],90,"209,8","210,5",495,"1,9 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
12782332-2660180,TOT-ART-80,Totem Arty 80,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","2650,00",unité.s,[Totem/Arty/Acquisition],45,"88,4","210,5",215,<1m2,2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
12782332-2660181,TOT-ART-120,Totem Arty 120,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","3200,00",unité.s,[Totem/Arty/Acquisition],45,"128,8","210,5",325,"1,16 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
12782332-2660182,TOT-ART-160,Totem Arty 160,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","3960,00",unité.s,[Totem/Arty/Acquisition],45,"169,2","210,5",432,"1,5 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
12782332-2660183,TOT-ART-200,Totem Arty 200,"Totem urbain à caisson bois lesté, structure métallique thermolaquée et panneau imprimé interchangeable.
Conçu pour s'intégrer harmonieusement en milieu urbain, il fait office de support de communication modulable.
Éco-responsable, sécurisé (certifié bureau d'études), facile à monter/démonter, avec visuels non percés.","4730,00",unité.s,[Totem/Arty/Acquisition],45,"209,8","210,5",495,"1,9 m2",2,80 x 150 cm,"• Structure en acier avec peinture époxy
• Panneaux amovibles 80x150cm
• Lame de bois traité autoclave Classe 4
• Lestage adaptable suivant zone géographique et typologie de terrain
• Délai de fabrication : 3 à 5 semaines"
6979721-1730170,TOT-LIZ-60-1000,Totem LIZ Modèle bois 3 faces,"Le totem LIZ en bois est une solution d’affichage urbain
 unique conçue pour l’extérieur.
La solution est modulable et flexible. Elle fonctionne 
comme des volets que l’on vient
 assembler.","3850,00",unité.s,[Totem/LIZ Modèle bois 3/Acquisition],"89,1","102,8",220,235,<1m2,3,101 x 201 cm,"Le dispositif est composé de 4 éléments majeurs :
- volets : cadres en bois Pin Maritime avec huile de protection écologique et tôle 
d’habillage de côté en acier thermolaqué.
- supports de communication insérés dans le volet.
- plaque haute et plaque basse (support de lestage) 
- acier thermolaqué
- lestage adapté en fonction des contraintes du vent"
